"Você já comeu ervilha?";"Certamente."
"Você já foi a Roma?";"Certamente."
"Sabe tocar violão?";"Certamente."
"Torce para seleção brasileira?";"Certamente."
"Fale CATAGUASES!";"Opa! Calma aí!"
"SOBE a escada!";"Opa! Calma aí!"
"";"Não me incomode."
"";"Não me incomode."
"CANTE MACARENA!";"Opa! Calma aí!"
"Faça SILÊNCIO!";"Opa! Calma aí!"
"Você já foi a ROMA?";"Relaxa, eu sei o que faço!"
"Esta afim de ARRUINAR tudo?";"Relaxa, eu sei o que faço!"
"ESTA PROCURANDO CONFUSÃO?";"Relaxa, eu sei o que faço!"
"Onde esta meu BURRITOS?";"Relaxa, eu sei o que faço!"
"Eu quero comer um biscoito.";"A responsabilidade é sua."
"Eu vou trabalhar amanhã.";"A responsabilidade é sua."
"Você acha que eu quero isto, mas na verdade não quero.";"A responsabilidade é sua."
"Você deve levantar cedo.";"Tudo bem, como quiser."
"Sábio era o sabiá que sabia subia.";"Tudo bem, como quiser."
"Seu dever é desenvolver.";"Tudo bem, como quiser."
"Nem sempre encontramos a solução adequada.";"Tudo bem, como quiser."
"Multiplique 5 por 4 e depois por 3.";"Essa eu sei."
"Some 1 a 1.";"Essa eu sei."
"Divida 4 por 3.";"Essa eu sei."
"Então, subtraia 3 de 8.";"Essa eu sei."
"Logo, divida 6 por 3. Quanto fica?";"Essa eu sei."
"Eu quero que você multiplique 8 por 2.";"Essa eu sei."
"Fazer café. Agir.";"É para já!"
"Dançar valsa. Agir.";"É para já!"
"Agir. Quero que dirija o carro.";"É para já!"